gene_id	protein_id	transcript_id	jgi_name	portal_id	seqid	start	end	strand	source	gff3_line	go_count	go_ids	go_names	go_types	kegg_count	kegg_ecnum	kegg_definition	kegg_catalyticactivity	kegg_cofactors	kegg_associateddiseases	kegg_pathway	kegg_pathway_class	kegg_pathway_type	has_go	has_kegg
gene_5330	1983890	1984144	jgi.p|Ophnu1|1983890	Ophnu1	OphioH327chr_4	2336517	2337851	+	prediction	33030	0				0									no	no
gene_5331	1983891	1984145	jgi.p|Ophnu1|1983891	Ophnu1	OphioH327chr_4	2339157	2339720	-	prediction	33034	2	GO:0008486; GO:0016787	diphosphoinositol-polyphosphate diphosphatase activity; hydrolase activity	molecular_function	0									yes	no
gene_5332	1983892	1984146	jgi.p|Ophnu1|1983892	Ophnu1	OphioH327chr_4	2343870	2346649	+	prediction	33040	3	GO:0004057; GO:0016598; GO:0042176	arginyltransferase activity; protein arginylation; regulation of protein catabolic process	biological_process; molecular_function	1	2.3.2.8	Arginyltransferase.	L-arginyl-tRNA + protein = tRNA + L-arginyl-protein.	\N	\N	\N	\N	\N	yes	yes
gene_5333	1983893	1984147	jgi.p|Ophnu1|1983893	Ophnu1	OphioH327chr_4	2348302	2349616	+	prediction	33048	4	GO:0003735; GO:0005622; GO:0005840; GO:0006412	intracellular; ribosome; structural constituent of ribosome; translation	biological_process; cellular_component; molecular_function	0									yes	no
gene_5334	1983894	1984148	jgi.p|Ophnu1|1983894	Ophnu1	OphioH327chr_4	2351572	2356590	-	prediction	33054	2	GO:0003723; GO:0005488	binding; RNA binding	molecular_function	0									yes	no
gene_5335	1983895	1984149	jgi.p|Ophnu1|1983895	Ophnu1	OphioH327chr_4	2363422	2364729	+	prediction	33068	5	GO:0003702; GO:0003824; GO:0005524; GO:0005674; GO:0006367	ATP binding; catalytic activity; RNA polymerase II transcription factor activity; transcription factor TFIIF complex; transcription initiation from RNA polymerase II promoter	biological_process; cellular_component; molecular_function	0									yes	no
gene_5336	1983896	1984150	jgi.p|Ophnu1|1983896	Ophnu1	OphioH327chr_4	2365447	2366475	+	prediction	33076	0				0									no	no
gene_5337	1983897	1984151	jgi.p|Ophnu1|1983897	Ophnu1	OphioH327chr_4	2366841	2367563	+	prediction	33080	0				0									no	no
gene_5338	1983898	1984152	jgi.p|Ophnu1|1983898	Ophnu1	OphioH327chr_4	2367977	2372302	-	prediction	33084	0				0									no	no
gene_5339	1983899	1984153	jgi.p|Ophnu1|1983899	Ophnu1	OphioH327chr_4	2373058	2374193	-	prediction	33088	7	GO:0000166; GO:0003684; GO:0005515; GO:0005524; GO:0006281; GO:0008094; GO:0017111	ATP binding; damaged DNA binding; DNA repair; DNA-dependent ATPase activity; nucleoside-triphosphatase activity; nucleotide binding; protein binding	biological_process; molecular_function	0									yes	no
gene_5340	1983900	1984154	jgi.p|Ophnu1|1983900	Ophnu1	OphioH327chr_4	2374809	2376264	-	prediction	33094	0				0									no	no
gene_5341	1983901	1984155	jgi.p|Ophnu1|1983901	Ophnu1	OphioH327chr_4	2377941	2379863	-	prediction	33100	1	GO:0003840	gamma-glutamyltransferase activity	molecular_function	0									yes	no
gene_5342	1983902	1984156	jgi.p|Ophnu1|1983902	Ophnu1	OphioH327chr_4	2382699	2384180	+	prediction	33104	4	GO:0004047; GO:0004374; GO:0005737; GO:0006546	aminomethyltransferase activity; cytoplasm; glycine catabolic process; glycine cleavage system	biological_process; cellular_component; molecular_function	3	2.1.2.10	Aminomethyltransferase.	(6S)-tetrahydrofolate + S-aminomethyldihydrolipoylprotein = (6R)-5,10-methylenetetrahydrofolate + NH(3) + dihydrolipoylprotein.	\N	Nonketotic hyperglycinemia type I; MIM:238300.	Glycine, serine and threonine metabolism; Nitrogen metabolism; One carbon pool by folate	Amino Acid Metabolism; Energy Metabolism; Metabolism of Cofactors and Vitamins	METABOLIC	yes	yes
gene_5343	1983903	1984157	jgi.p|Ophnu1|1983903	Ophnu1	OphioH327chr_4	2386342	2388064	+	prediction	33108	3	GO:0005215; GO:0006810; GO:0016021	integral to membrane; transport; transporter activity	biological_process; cellular_component; molecular_function	0									yes	no
gene_5344	1983904	1984158	jgi.p|Ophnu1|1983904	Ophnu1	OphioH327chr_4	2388275	2388943	-	prediction	33114	3	GO:0004089; GO:0008270; GO:0015976	carbon utilization; carbonate dehydratase activity; zinc ion binding	biological_process; molecular_function	1	4.2.1.1	Carbonate dehydratase.	H(2)CO(3) = CO(2) + H(2)O.	Zinc.	Osteopetrosis-renal tubular acidosis syndrome; MIM:259730.	Nitrogen metabolism	Energy Metabolism	METABOLIC	yes	yes
gene_5345	1983905	1984159	jgi.p|Ophnu1|1983905	Ophnu1	OphioH327chr_4	2390011	2392818	+	prediction	33118	2	GO:0003824; GO:0030596	alpha-L-rhamnosidase activity; catalytic activity	molecular_function	1	3.2.1.40	Alpha-L-rhamnosidase.	Hydrolysis of terminal non-reducing alpha-L-rhamnoase residues in alpha-L-rhamnosides.	\N	\N	\N	\N	\N	yes	yes
gene_5346	1983906	1984160	jgi.p|Ophnu1|1983906	Ophnu1	OphioH327chr_4	2393454	2395019	-	prediction	33122	0				0									no	no
gene_5347	1983907	1984161	jgi.p|Ophnu1|1983907	Ophnu1	OphioH327chr_4	2395349	2395815	+	prediction	33130	1	GO:0003998	acylphosphatase activity	molecular_function	3	3.6.1.7	Acylphosphatase.	An acyl phosphate + H(2)O = a fatty acid anion + phosphate.	\N	\N	Benzoate degradation via CoA ligation; Glycolysis / Gluconeogenesis; Pyruvate metabolism	Biodegradation of Xenobiotics; Carbohydrate Metabolism	METABOLIC	yes	yes
gene_5348	1983908	1984162	jgi.p|Ophnu1|1983908	Ophnu1	OphioH327chr_4	2395869	2399234	-	prediction	33140	4	GO:0003676; GO:0004386; GO:0005524; GO:0008026	ATP binding; ATP-dependent helicase activity; helicase activity; nucleic acid binding	molecular_function	0									yes	no
gene_5349	1983909	1984163	jgi.p|Ophnu1|1983909	Ophnu1	OphioH327chr_4	2399626	2401350	+	prediction	33144	0				0									no	no
gene_5350	1983910	1984164	jgi.p|Ophnu1|1983910	Ophnu1	OphioH327chr_4	2406882	2408006	+	prediction	33148	0				0									no	no
gene_5351	1983911	1984165	jgi.p|Ophnu1|1983911	Ophnu1	OphioH327chr_4	2412249	2414576	+	prediction	33152	4	GO:0000298; GO:0005773; GO:0016021; GO:0016787	endopolyphosphatase activity; hydrolase activity; integral to membrane; vacuole	cellular_component; molecular_function	1	3.6.1.10	Endopolyphosphatase.	Polyphosphate + N H(2)O = (N+1) oligophosphate.	\N	\N	\N	\N	\N	yes	yes
gene_5352	1983912	1984166	jgi.p|Ophnu1|1983912	Ophnu1	OphioH327chr_4	2421309	2422341	+	prediction	33158	1	GO:0003676	nucleic acid binding	molecular_function	0									yes	no
gene_5353	1983913	1984167	jgi.p|Ophnu1|1983913	Ophnu1	OphioH327chr_4	2423049	2424241	-	prediction	33168	0				0									no	no
gene_5354	1983914	1984168	jgi.p|Ophnu1|1983914	Ophnu1	OphioH327chr_4	2426847	2428189	+	prediction	33178	1	GO:0005509	calcium ion binding	molecular_function	0									yes	no
gene_5355	1983915	1984169	jgi.p|Ophnu1|1983915	Ophnu1	OphioH327chr_4	2428543	2430465	-	prediction	33186	0				0									no	no
gene_5356	1983916	1984170	jgi.p|Ophnu1|1983916	Ophnu1	OphioH327chr_4	2431201	2431633	-	prediction	33190	0				0									no	no
gene_5357	1983917	1984171	jgi.p|Ophnu1|1983917	Ophnu1	OphioH327chr_4	2441055	2444834	+	prediction	33196	0				0									no	no
gene_5358	1983918	1984172	jgi.p|Ophnu1|1983918	Ophnu1	OphioH327chr_4	2445706	2446326	+	prediction	33200	8	GO:0004842; GO:0019787; GO:0043687; GO:0051246; GO:0051438; GO:0051440; GO:0051443; GO:0051444	negative regulation of ubiquitin-protein ligase activity; positive regulation of ubiquitin-protein ligase activity; post-translational protein modification; regulation of protein metabolic process; regulation of ubiquitin-protein ligase activity; regulation of ubiquitin-protein ligase activity during meiotic cell cycle; small conjugating protein ligase activity; ubiquitin-protein ligase activity	biological_process; molecular_function	1	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N	yes	yes
gene_5359	1983919	1984173	jgi.p|Ophnu1|1983919	Ophnu1	OphioH327chr_4	2455540	2456721	-	prediction	33204	31	GO:0000009; GO:0000026; GO:0000030; GO:0000033; GO:0001962; GO:0003980; GO:0004376; GO:0004576; GO:0004583; GO:0008375; GO:0008376; GO:0008378; GO:0008417; GO:0008755; GO:0008921; GO:0016253; GO:0016759; GO:0018715; GO:0018716; GO:0018717; GO:0018718; GO:0019112; GO:0019187; GO:0031278; GO:0033556; GO:0042281; GO:0042283; GO:0045140; GO:0046527; GO:0046920; GO:0046921	1,2-dihydroxy-phenanthrene glycosyltransferase activity; 1-phenanthrol glycosyltransferase activity; 9-phenanthrol glycosyltransferase activity; 9-phenanthrol UDP-glucuronosyltransferase activity; acetylgalactosaminyltransferase activity; acetylglucosaminyltransferase activity; alpha(1,3)-fucosyltransferase activity; alpha(1,6)-fucosyltransferase activity; alpha-1,2-galactosyltransferase activity; alpha-1,2-mannosyltransferase activity; alpha-1,3-galactosyltransferase activity; alpha-1,3-mannosyltransferase activity; alpha-1,6-mannosyltransferase activity; beta-1,4-mannosyltransferase activity; cellulose synthase activity; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity; fucosyltransferase activity; galactosyltransferase activity; glucosyltransferase activity; glycolipid mannosyltransferase activity; inositol phosphoceramide synthase activity; lipopolysaccharide-1,6-galactosyltransferase activity; mannosyltransferase activity; O antigen polymerase activity; oligosaccharyl transferase activity; phenanthrol glycosyltransferase activity; UDP-glucose:glycoprotein glucosyltransferase activity; UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	molecular_function	11	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series; Blood group glycolipid biosynthesis - neolact series; Chondroitin / heparan sulfate biosynthesis; Fructose and mannose metabolism; Globoside metabolism; Glycerolipid metabolism; Keratan sulfate biosynthesis; N-Glycans biosynthesis; O-Glycans biosynthesis; Peptidoglycan biosynthesis; Sphingoglycolipid metabolism	Carbohydrate Metabolism; Metabolism of Complex Carbohydrates; Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_5360	1983920	1984174	jgi.p|Ophnu1|1983920	Ophnu1	OphioH327chr_4	2459176	2460088	+	prediction	33210	5	GO:0004175; GO:0004298; GO:0004299; GO:0005839; GO:0006511	endopeptidase activity; proteasome core complex; proteasome endopeptidase activity; threonine endopeptidase activity; ubiquitin-dependent protein catabolic process	biological_process; cellular_component; molecular_function	1	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.	\N	\N	\N	\N	\N	yes	yes
gene_5361	1983921	1984175	jgi.p|Ophnu1|1983921	Ophnu1	OphioH327chr_4	2460332	2461837	-	prediction	33216	2	GO:0006508; GO:0008450	O-sialoglycoprotein endopeptidase activity; proteolysis	biological_process; molecular_function	0									yes	no
gene_5362	1983922	1984176	jgi.p|Ophnu1|1983922	Ophnu1	OphioH327chr_4	2462127	2463093	+	prediction	33220	2	GO:0008080; GO:0008152	metabolic process; N-acetyltransferase activity	biological_process; molecular_function	0									yes	no
gene_5363	1983923	1984177	jgi.p|Ophnu1|1983923	Ophnu1	OphioH327chr_4	2468892	2469959	+	prediction	33226	2	GO:0004553; GO:0005975	carbohydrate metabolic process; hydrolase activity, hydrolyzing O-glycosyl compounds	biological_process; molecular_function	0									yes	no
gene_5364	1983924	1984178	jgi.p|Ophnu1|1983924	Ophnu1	OphioH327chr_4	2471355	2472843	-	prediction	33230	33	GO:0000009; GO:0000026; GO:0000030; GO:0000033; GO:0001962; GO:0003980; GO:0004376; GO:0004576; GO:0004583; GO:0008375; GO:0008376; GO:0008378; GO:0008417; GO:0008755; GO:0008921; GO:0016021; GO:0016253; GO:0016758; GO:0016759; GO:0018715; GO:0018716; GO:0018717; GO:0018718; GO:0019112; GO:0019187; GO:0031278; GO:0033556; GO:0042281; GO:0042283; GO:0045140; GO:0046527; GO:0046920; GO:0046921	1,2-dihydroxy-phenanthrene glycosyltransferase activity; 1-phenanthrol glycosyltransferase activity; 9-phenanthrol glycosyltransferase activity; 9-phenanthrol UDP-glucuronosyltransferase activity; acetylgalactosaminyltransferase activity; acetylglucosaminyltransferase activity; alpha(1,3)-fucosyltransferase activity; alpha(1,6)-fucosyltransferase activity; alpha-1,2-galactosyltransferase activity; alpha-1,2-mannosyltransferase activity; alpha-1,3-galactosyltransferase activity; alpha-1,3-mannosyltransferase activity; alpha-1,6-mannosyltransferase activity; beta-1,4-mannosyltransferase activity; cellulose synthase activity; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity; fucosyltransferase activity; galactosyltransferase activity; glucosyltransferase activity; glycolipid mannosyltransferase activity; inositol phosphoceramide synthase activity; integral to membrane; lipopolysaccharide-1,6-galactosyltransferase activity; mannosyltransferase activity; O antigen polymerase activity; oligosaccharyl transferase activity; phenanthrol glycosyltransferase activity; transferase activity, transferring hexosyl groups; UDP-glucose:glycoprotein glucosyltransferase activity; UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	cellular_component; molecular_function	11	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series; Blood group glycolipid biosynthesis - neolact series; Chondroitin / heparan sulfate biosynthesis; Fructose and mannose metabolism; Globoside metabolism; Glycerolipid metabolism; Keratan sulfate biosynthesis; N-Glycans biosynthesis; O-Glycans biosynthesis; Peptidoglycan biosynthesis; Sphingoglycolipid metabolism	Carbohydrate Metabolism; Metabolism of Complex Carbohydrates; Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_5365	1983925	1984179	jgi.p|Ophnu1|1983925	Ophnu1	OphioH327chr_4	2479239	2479479	+	prediction	33236	0				0									no	no
gene_5366	1983926	1984180	jgi.p|Ophnu1|1983926	Ophnu1	OphioH327chr_4	2482099	2485884	+	prediction	33242	0				0									no	no
gene_5367	1983927	1984181	jgi.p|Ophnu1|1983927	Ophnu1	OphioH327chr_4	2486137	2487627	-	prediction	33246	0				0									no	no
gene_5368	1983928	1984182	jgi.p|Ophnu1|1983928	Ophnu1	OphioH327chr_4	2488404	2492313	+	prediction	33250	2	GO:0003676; GO:0005634	nucleic acid binding; nucleus	cellular_component; molecular_function	0									yes	no
gene_5369	1983929	1984183	jgi.p|Ophnu1|1983929	Ophnu1	OphioH327chr_4	2493106	2493939	+	prediction	33256	3	GO:0006118; GO:0008121; GO:0016020	electron transport; membrane; ubiquinol-cytochrome-c reductase activity	biological_process; cellular_component; molecular_function	1	1.10.2.2	Ubiquinol--cytochrome c reductase.	QH(2) + 2 ferricytochrome c = Q + 2 ferrocytochrome c.	\N	\N	Oxidative phosphorylation	Energy Metabolism	METABOLIC	yes	yes
gene_5370	1983930	1984184	jgi.p|Ophnu1|1983930	Ophnu1	OphioH327chr_4	2496088	2497410	+	prediction	33262	0				0									no	no
gene_5371	1983931	1984185	jgi.p|Ophnu1|1983931	Ophnu1	OphioH327chr_4	2497605	2498141	-	prediction	33266	0				0									no	no
gene_5372	1983932	1984186	jgi.p|Ophnu1|1983932	Ophnu1	OphioH327chr_4	2498683	2499090	-	prediction	33270	0				0									no	no
gene_5373	1983933	1984187	jgi.p|Ophnu1|1983933	Ophnu1	OphioH327chr_4	2499491	2500771	-	prediction	33276	0				0									no	no
gene_5374	1983934	1984188	jgi.p|Ophnu1|1983934	Ophnu1	OphioH327chr_4	2502296	2504380	-	prediction	33280	5	GO:0005515; GO:0005524; GO:0006457; GO:0044267; GO:0051082	ATP binding; cellular protein metabolic process; protein binding; protein folding; unfolded protein binding	biological_process; molecular_function	0									yes	no
gene_5375	1983935	1984189	jgi.p|Ophnu1|1983935	Ophnu1	OphioH327chr_4	2505305	2506987	+	prediction	33286	8	GO:0000166; GO:0004812; GO:0004827; GO:0005524; GO:0005737; GO:0006412; GO:0006418; GO:0006433	aminoacyl-tRNA ligase activity; ATP binding; cytoplasm; nucleotide binding; proline-tRNA ligase activity; prolyl-tRNA aminoacylation; translation; tRNA aminoacylation for protein translation	biological_process; cellular_component; molecular_function	2	6.1.1.15	Proline--tRNA ligase.	ATP + L-proline + tRNA(Pro) = AMP + diphosphate + L-prolyl-tRNA(Pro).	\N	\N	Aminoacyl-tRNA biosynthesis; Arginine and proline metabolism	Amino Acid Metabolism; TRANSLATION	METABOLIC; REGULATORY	yes	yes
gene_5376	1983936	1984190	jgi.p|Ophnu1|1983936	Ophnu1	OphioH327chr_4	2507211	2509403	-	prediction	33290	2	GO:0003824; GO:0008152	catalytic activity; metabolic process	biological_process; molecular_function	0									yes	no
gene_5377	1983937	1984191	jgi.p|Ophnu1|1983937	Ophnu1	OphioH327chr_4	2510486	2511706	-	prediction	33294	2	GO:0006508; GO:0008233	peptidase activity; proteolysis	biological_process; molecular_function	1	3.4.11.10	Bacterial leucyl aminopeptidase.	Release of an N-terminal amino acid, preferentially leucine, but not glutamic or aspartic acids.	Zinc.	\N	\N	\N	\N	yes	yes
gene_5378	1983938	1984192	jgi.p|Ophnu1|1983938	Ophnu1	OphioH327chr_4	2512360	2514051	-	prediction	33298	0				0									no	no
gene_5379	1983939	1984193	jgi.p|Ophnu1|1983939	Ophnu1	OphioH327chr_4	2515172	2516764	-	prediction	33302	1	GO:0033164	glycolipid 6-alpha-mannosyltransferase activity	molecular_function	0									yes	no
gene_5380	1983940	1984194	jgi.p|Ophnu1|1983940	Ophnu1	OphioH327chr_4	2517927	2519478	-	prediction	33306	0				0									no	no
gene_5381	1983941	1984195	jgi.p|Ophnu1|1983941	Ophnu1	OphioH327chr_4	2520116	2520665	-	prediction	33314	0				0									no	no
gene_5382	1983942	1984196	jgi.p|Ophnu1|1983942	Ophnu1	OphioH327chr_4	2521070	2521525	-	prediction	33322	0				0									no	no
gene_5383	1983943	1984197	jgi.p|Ophnu1|1983943	Ophnu1	OphioH327chr_4	2521795	2522877	-	prediction	33326	0				0									no	no
gene_5384	1983944	1984198	jgi.p|Ophnu1|1983944	Ophnu1	OphioH327chr_4	2523238	2525152	+	prediction	33332	6	GO:0003677; GO:0003700; GO:0005634; GO:0006350; GO:0006355; GO:0008270	DNA binding; nucleus; regulation of transcription, DNA-dependent; transcription; transcription factor activity; zinc ion binding	biological_process; cellular_component; molecular_function	0									yes	no
gene_5385	1983945	1984199	jgi.p|Ophnu1|1983945	Ophnu1	OphioH327chr_4	2525194	2526663	-	prediction	33338	1	GO:0003993	acid phosphatase activity	molecular_function	2	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	\N	Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation; Riboflavin metabolism	Biodegradation of Xenobiotics; Metabolism of Cofactors and Vitamins	METABOLIC	yes	yes
gene_5386	1983946	1984200	jgi.p|Ophnu1|1983946	Ophnu1	OphioH327chr_4	2532334	2533674	+	prediction	33342	1	GO:0004806	triacylglycerol lipase activity	molecular_function	1	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.	\N	Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	yes	yes
gene_5387	1983947	1984201	jgi.p|Ophnu1|1983947	Ophnu1	OphioH327chr_4	2534457	2535620	+	prediction	33346	3	GO:0003824; GO:0006012; GO:0008108	catalytic activity; galactose metabolic process; UDP-glucose:hexose-1-phosphate uridylyltransferase activity	biological_process; molecular_function	2	2.7.7.12	UDP-glucose--hexose-1-phosphate uridylyltransferase.	UDP-glucose + alpha-D-galactose 1-phosphate = alpha-D-glucose 1-phosphate + UDP-galactose.	\N	\N	Galactose metabolism; Nucleotide sugars metabolism	Carbohydrate Metabolism; Nucleotide Metabolism	METABOLIC	yes	yes
gene_5388	1983948	1984202	jgi.p|Ophnu1|1983948	Ophnu1	OphioH327chr_4	2535707	2536279	-	prediction	33350	1	GO:0016021	integral to membrane	cellular_component	0									yes	no
gene_5389	1983949	1984203	jgi.p|Ophnu1|1983949	Ophnu1	OphioH327chr_4	2536661	2537662	+	prediction	33356	2	GO:0008152; GO:0016491	metabolic process; oxidoreductase activity	biological_process; molecular_function	0									yes	no
gene_5390	1983950	1984204	jgi.p|Ophnu1|1983950	Ophnu1	OphioH327chr_4	2538674	2542965	+	prediction	33360	3	GO:0005643; GO:0006913; GO:0050658	nuclear pore; nucleocytoplasmic transport; RNA transport	biological_process; cellular_component	0									yes	no
gene_5391	1983951	1984205	jgi.p|Ophnu1|1983951	Ophnu1	OphioH327chr_4	2543841	2544968	+	prediction	33366	1	GO:0033882	choloyl-CoA hydrolase activity	molecular_function	0									yes	no
gene_5392	1983952	1984206	jgi.p|Ophnu1|1983952	Ophnu1	OphioH327chr_4	2545436	2546409	-	prediction	33370	0				0									no	no
gene_5393	1983953	1984207	jgi.p|Ophnu1|1983953	Ophnu1	OphioH327chr_4	2548377	2549324	-	prediction	33376	2	GO:0003824; GO:0009058	biosynthetic process; catalytic activity	biological_process; molecular_function	0									yes	no
gene_5394	1983954	1984208	jgi.p|Ophnu1|1983954	Ophnu1	OphioH327chr_4	2549831	2551096	-	prediction	33380	0				0									no	no
gene_5395	1983955	1984209	jgi.p|Ophnu1|1983955	Ophnu1	OphioH327chr_4	2552301	2553785	-	prediction	33384	7	GO:0000151; GO:0004842; GO:0016567; GO:0051438; GO:0051440; GO:0051443; GO:0051444	negative regulation of ubiquitin-protein ligase activity; positive regulation of ubiquitin-protein ligase activity; protein ubiquitination; regulation of ubiquitin-protein ligase activity; regulation of ubiquitin-protein ligase activity during meiotic cell cycle; ubiquitin ligase complex; ubiquitin-protein ligase activity	biological_process; cellular_component; molecular_function	1	6.3.2.19	Ubiquitin--protein ligase.	ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.	\N	\N	\N	\N	\N	yes	yes
gene_5396	1983956	1984210	jgi.p|Ophnu1|1983956	Ophnu1	OphioH327chr_4	2554374	2554974	+	prediction	33388	0				0									no	no
gene_5397	1983957	1984211	jgi.p|Ophnu1|1983957	Ophnu1	OphioH327chr_4	2555669	2556499	+	prediction	33394	3	GO:0004129; GO:0005740; GO:0006118	cytochrome-c oxidase activity; electron transport; mitochondrial envelope	biological_process; cellular_component; molecular_function	0									yes	no
gene_5398	1983958	1984212	jgi.p|Ophnu1|1983958	Ophnu1	OphioH327chr_4	2557102	2557653	-	prediction	33402	0				0									no	no
gene_5399	1983959	1984213	jgi.p|Ophnu1|1983959	Ophnu1	OphioH327chr_4	2558249	2559666	-	prediction	33406	2	GO:0004553; GO:0005975	carbohydrate metabolic process; hydrolase activity, hydrolyzing O-glycosyl compounds	biological_process; molecular_function	0									yes	no
gene_5400	1983960	1984214	jgi.p|Ophnu1|1983960	Ophnu1	OphioH327chr_4	2561907	2562441	-	prediction	33412	0				0									no	no
gene_5401	1983961	1984215	jgi.p|Ophnu1|1983961	Ophnu1	OphioH327chr_4	2563227	2563877	+	prediction	33418	0				0									no	no
gene_5402	1983962	1984216	jgi.p|Ophnu1|1983962	Ophnu1	OphioH327chr_4	2565821	2567154	-	prediction	33422	1	GO:0003677	DNA binding	molecular_function	0									yes	no
gene_5403	1983963	1984217	jgi.p|Ophnu1|1983963	Ophnu1	OphioH327chr_4	2575681	2576487	-	prediction	33430	0				0									no	no
gene_5404	1983964	1984218	jgi.p|Ophnu1|1983964	Ophnu1	OphioH327chr_4	2583514	2584767	+	prediction	33436	0				0									no	no
gene_5405	1983965	1984219	jgi.p|Ophnu1|1983965	Ophnu1	OphioH327chr_4	2588296	2590388	+	prediction	33440	3	GO:0003824; GO:0004160; GO:0008152	catalytic activity; dihydroxy-acid dehydratase activity; metabolic process	biological_process; molecular_function	2	4.2.1.9	Dihydroxy-acid dehydratase.	2,3-dihydroxy-3-methylbutanoate = 3-methyl-2-oxobutanoate + H(2)O.	\N	\N	Pantothenate and CoA biosynthesis; Valine, leucine and isoleucine biosynthesis	Amino Acid Metabolism; Metabolism of Cofactors and Vitamins	METABOLIC	yes	yes
gene_5406	1983966	1984220	jgi.p|Ophnu1|1983966	Ophnu1	OphioH327chr_4	2591110	2592689	-	prediction	33446	34	GO:0000009; GO:0000026; GO:0000030; GO:0000033; GO:0001962; GO:0003980; GO:0004376; GO:0004377; GO:0004576; GO:0004583; GO:0006486; GO:0008375; GO:0008376; GO:0008378; GO:0008417; GO:0008755; GO:0008921; GO:0016020; GO:0016253; GO:0016759; GO:0018715; GO:0018716; GO:0018717; GO:0018718; GO:0019112; GO:0019187; GO:0031278; GO:0033556; GO:0042281; GO:0042283; GO:0045140; GO:0046527; GO:0046920; GO:0046921	1,2-dihydroxy-phenanthrene glycosyltransferase activity; 1-phenanthrol glycosyltransferase activity; 9-phenanthrol glycosyltransferase activity; 9-phenanthrol UDP-glucuronosyltransferase activity; acetylgalactosaminyltransferase activity; acetylglucosaminyltransferase activity; alpha(1,3)-fucosyltransferase activity; alpha(1,6)-fucosyltransferase activity; alpha-1,2-galactosyltransferase activity; alpha-1,2-mannosyltransferase activity; alpha-1,3-galactosyltransferase activity; alpha-1,3-mannosyltransferase activity; alpha-1,6-mannosyltransferase activity; beta-1,4-mannosyltransferase activity; cellulose synthase activity; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity; fucosyltransferase activity; galactosyltransferase activity; glucosyltransferase activity; glycolipid 2-alpha-mannosyltransferase activity; glycolipid mannosyltransferase activity; inositol phosphoceramide synthase activity; lipopolysaccharide-1,6-galactosyltransferase activity; mannosyltransferase activity; membrane; O antigen polymerase activity; oligosaccharyl transferase activity; phenanthrol glycosyltransferase activity; protein amino acid glycosylation; UDP-glucose:glycoprotein glucosyltransferase activity; UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	biological_process; cellular_component; molecular_function	11	2.4.1.-	Hexosyltransferases.	\N	\N	\N	Blood group glycolipid biosynthesis - lact series; Blood group glycolipid biosynthesis - neolact series; Chondroitin / heparan sulfate biosynthesis; Fructose and mannose metabolism; Globoside metabolism; Glycerolipid metabolism; Keratan sulfate biosynthesis; N-Glycans biosynthesis; O-Glycans biosynthesis; Peptidoglycan biosynthesis; Sphingoglycolipid metabolism	Carbohydrate Metabolism; Metabolism of Complex Carbohydrates; Metabolism of Complex Lipids	METABOLIC	yes	yes
